,County,SolarUnitCount,Area_SqMi
0,Alameda,6246,739.02
1,Amador,233,594.58
2,Butte,1284,1636.46
3,Calaveras,379,1020.01
4,Colusa,131,1150.73
5,Contra Costa,6165,715.94
6,El Dorado,1763,1707.88
7,Fresno,6041,5957.99
8,Glenn,325,1313.95
9,Humboldt,229,3567.99
10,Imperial,9,4176.6
11,Inyo,136,10180.88
12,Kern,5265,8131.92
13,Kings,910,1389.42
14,Lake,368,1256.46
15,Lassen,19,4541.18
16,Los Angeles,24001,4057.88
17,Madera,884,2137.07
18,Marin,2064,520.31
19,Mariposa,93,1448.82
20,Mendocino,505,3506.34
21,Merced,714,1934.97
22,Mono,136,3048.98
23,Monterey,1244,3280.6
24,Napa,1182,748.36
25,Nevada,788,957.77
26,Orange,13643,790.57
27,Placer,3252,1407.01
28,Plumas,184,2553.04
29,Riverside,18489,7206.48
30,Sacramento,38,964.64
31,San Benito,283,1388.71
32,San Bernardino,12190,20056.94
33,San Diego,20984,4206.63
34,San Francisco,4134,46.87
35,San Joaquin,1980,1391.32
36,San Luis Obispo,2056,3298.57
37,San Mateo,2947,448.41
38,Santa Barbara,1775,2735.09
39,Santa Clara,10182,1290.1
40,Santa Cruz,1780,445.17
41,Shasta,594,3775.4
42,Sierra,1,953.21
43,Solano,1282,821.77
44,Sonoma,4467,1575.85
45,Stanislaus,411,1494.83
46,Sutter,484,602.41
47,Tehama,328,2949.71
48,Trinity,4,3179.25
49,Tulare,3647,4824.22
50,Tuolumne,208,2220.88
51,Ventura,5794,1843.13
52,Yolo,1459,1014.69
53,Yuba,346,631.84
